timestamp,approach,turn,length_ft,speed_mph,phase,light,seconds_of_light_state,seconds_since_green,recent_free_flow_speed_mph,calibration_free_flow_speed_mph,include_in_approach_data,zone_id
20210213T134303.7,W,S,11,22,0,PG,248742.70,248747.70,19,13,1,ae786812cad54f68aa98431607335574
20210213T134344.1,W,S,11,21,0,PG,248782.92,248787.92,19,13,1,ae786812cad54f68aa98431607335574
20210213T134321.8,W,L,12,15,0,PG,248760.69,248765.69,19,13,1,ae786812cad54f68aa98431607335574
20210213T134434.7,W,S,11,15,0,PG,248833.28,248838.28,19,13,1,ae786812cad54f68aa98431607335574
20210213T134440.4,W,S,11,7,0,PG,248838.92,248843.92,19,13,1,ae786812cad54f68aa98431607335574
20210213T134457.1,W,S,14,2,0,PG,248855.59,248860.59,19,13,1,ae786812cad54f68aa98431607335574
20210213T134500.6,W,S,11,9,0,PG,248859.08,248864.08,19,13,1,ae786812cad54f68aa98431607335574
20210213T134553.4,W,S,11,12,0,PG,248911.63,248916.63,19,13,1,ae786812cad54f68aa98431607335574
20210213T134604.1,W,S,11,11,0,PG,248922.28,248927.28,19,13,1,ae786812cad54f68aa98431607335574
20210213T134612.1,W,S,12,0,0,PG,248930.19,248935.19,19,13,1,ae786812cad54f68aa98431607335574
20210213T134635.3,W,S,11,20,0,PG,248953.27,248958.27,19,13,1,ae786812cad54f68aa98431607335574
20210213T134720.0,W,S,14,3,0,PG,248997.78,249002.78,19,13,1,ae786812cad54f68aa98431607335574
20210213T134714.8,W,S,11,14,0,PG,248992.57,248997.57,19,13,1,ae786812cad54f68aa98431607335574
20210213T134719.4,W,S,12,8,0,PG,248997.22,249002.22,19,13,1,ae786812cad54f68aa98431607335574
20210213T134738.1,W,S,11,3,0,PG,249015.81,249020.81,19,13,1,ae786812cad54f68aa98431607335574
20210213T134740.7,W,S,11,9,0,PG,249018.42,249023.42,19,13,1,ae786812cad54f68aa98431607335574
20210213T134745.3,W,S,13,17,0,PG,249022.99,249027.99,19,13,1,ae786812cad54f68aa98431607335574
20210213T134830.3,W,S,11,19,0,PG,249067.74,249072.74,19,13,1,ae786812cad54f68aa98431607335574
20210213T134841.4,W,S,15,16,0,PG,249078.81,249083.81,19,13,1,ae786812cad54f68aa98431607335574
20210213T134855.6,W,S,15,24,0,PG,249092.93,249097.93,19,13,1,ae786812cad54f68aa98431607335574
20210213T134850.2,W,S,11,21,0,PG,249087.59,249092.59,19,13,1,ae786812cad54f68aa98431607335574
20210213T134856.2,W,S,11,30,0,PG,249093.59,249098.59,19,13,1,ae786812cad54f68aa98431607335574
20210213T134902.8,W,S,12,20,0,PG,249100.11,249105.11,19,13,1,ae786812cad54f68aa98431607335574
20210213T134915.8,W,S,11,14,0,PG,249113.02,249118.02,19,13,1,ae786812cad54f68aa98431607335574
20210213T134938.0,W,S,11,12,0,PG,249135.22,249140.22,19,13,1,ae786812cad54f68aa98431607335574
20210213T134947.9,W,S,11,16,0,PG,249145.03,249150.03,19,13,1,ae786812cad54f68aa98431607335574
20210213T134959.5,W,S,11,11,0,PG,249156.56,249161.56,19,13,1,ae786812cad54f68aa98431607335574
20210213T135005.9,W,S,11,3,0,PG,249162.90,249167.90,19,13,1,ae786812cad54f68aa98431607335574
20210213T135013.9,W,S,11,0,0,PG,249170.86,249175.86,19,13,1,ae786812cad54f68aa98431607335574
20210213T135026.7,W,S,11,3,0,PG,249183.66,249188.66,19,13,1,ae786812cad54f68aa98431607335574
20210213T135029.3,W,S,11,10,0,PG,249186.27,249191.27,19,13,1,ae786812cad54f68aa98431607335574
20210213T135031.0,W,S,11,10,0,PG,249187.87,249192.87,19,13,1,ae786812cad54f68aa98431607335574
20210213T135054.7,W,S,11,20,0,PG,249211.48,249216.48,19,13,1,ae786812cad54f68aa98431607335574
20210213T135056.6,W,S,11,19,0,PG,249213.38,249218.38,19,13,1,ae786812cad54f68aa98431607335574
20210213T135103.7,W,S,11,23,0,PG,249220.42,249225.42,19,13,1,ae786812cad54f68aa98431607335574
20210213T135124.2,W,S,11,0,0,PG,249240.82,249245.82,19,13,1,ae786812cad54f68aa98431607335574
20210213T135144.1,W,S,11,19,0,PG,249260.68,249265.68,19,13,1,ae786812cad54f68aa98431607335574
20210213T135147.4,W,S,11,18,0,PG,249263.95,249268.95,19,13,1,ae786812cad54f68aa98431607335574
20210213T135208.4,W,S,11,14,0,PG,249284.85,249289.85,19,13,1,ae786812cad54f68aa98431607335574
20210213T135233.7,W,S,12,19,0,PG,249310.01,249315.01,19,13,1,ae786812cad54f68aa98431607335574
20210213T135235.6,W,S,11,19,0,PG,249311.94,249316.94,19,13,1,ae786812cad54f68aa98431607335574
20210213T135300.9,W,S,11,21,0,PG,249337.09,249342.09,19,13,1,ae786812cad54f68aa98431607335574
20210213T135303.3,W,S,11,22,0,PG,249339.49,249344.49,19,13,1,ae786812cad54f68aa98431607335574
20210213T135414.4,W,S,11,11,0,PG,249410.22,249415.22,19,13,1,ae786812cad54f68aa98431607335574
20210213T135411.0,W,S,11,13,0,PG,249406.87,249411.87,19,13,1,ae786812cad54f68aa98431607335574
20210213T135436.8,W,S,11,25,0,PG,249432.52,249437.52,19,13,1,ae786812cad54f68aa98431607335574
20210213T135511.9,W,S,11,14,0,PG,249467.42,249472.42,19,13,1,ae786812cad54f68aa98431607335574
20210213T135515.3,W,S,11,11,0,PG,249470.84,249475.84,19,13,1,ae786812cad54f68aa98431607335574
20210213T135538.1,W,S,11,0,0,PG,249493.55,249498.55,19,13,1,ae786812cad54f68aa98431607335574
20210213T135545.7,W,S,19,8,0,PG,249501.07,249506.07,19,13,1,ae786812cad54f68aa98431607335574
20210213T135641.6,W,S,11,15,0,PG,249556.75,249561.75,19,13,1,ae786812cad54f68aa98431607335574
20210213T135644.8,W,S,11,14,0,PG,249559.90,249564.90,19,13,1,ae786812cad54f68aa98431607335574
20210213T135646.1,W,S,11,13,0,PG,249561.22,249566.22,19,13,1,ae786812cad54f68aa98431607335574
20210213T135651.2,W,S,11,22,0,PG,249566.31,249571.31,19,13,1,ae786812cad54f68aa98431607335574
20210213T135704.0,W,S,11,25,0,PG,249579.02,249584.02,19,13,1,ae786812cad54f68aa98431607335574
20210213T135718.6,W,S,11,24,0,PG,249593.53,249598.53,19,13,1,ae786812cad54f68aa98431607335574
20210213T135730.3,W,S,11,19,0,PG,249605.20,249610.20,19,13,1,ae786812cad54f68aa98431607335574
20210213T135750.4,W,S,11,13,0,PG,249625.26,249630.26,19,13,1,ae786812cad54f68aa98431607335574
20210213T135750.2,W,S,13,13,0,PG,249625.02,249630.02,19,13,1,ae786812cad54f68aa98431607335574
20210213T135813.7,W,S,11,0,0,PG,249648.39,249653.39,19,13,1,ae786812cad54f68aa98431607335574
20210213T135825.2,W,S,11,3,0,PG,249659.87,249664.87,19,13,1,ae786812cad54f68aa98431607335574
20210213T135819.5,W,S,11,8,0,PG,249654.13,249659.13,19,13,1,ae786812cad54f68aa98431607335574
20210213T135914.8,W,S,11,11,0,PG,249709.21,249714.21,19,13,1,ae786812cad54f68aa98431607335574
20210213T135916.9,W,S,11,0,0,PG,249711.25,249716.25,19,13,1,ae786812cad54f68aa98431607335574
20210213T135937.2,W,S,13,2,0,PG,249731.52,249736.52,19,13,1,ae786812cad54f68aa98431607335574
20210213T135941.5,W,S,11,8,0,PG,249735.80,249740.80,19,13,1,ae786812cad54f68aa98431607335574
20210213T135944.3,W,S,15,8,0,PG,249738.54,249743.54,19,13,1,ae786812cad54f68aa98431607335574
20210213T135944.1,W,S,11,12,0,PG,249738.42,249743.42,19,13,1,ae786812cad54f68aa98431607335574
20210213T135950.1,W,S,11,19,0,PG,249744.29,249749.29,19,13,1,ae786812cad54f68aa98431607335574
